"ManufacturerName","Assignment"
"Morrow Technologies Corp.","00B09A"
"Transmeta Corp.","00B091"
"City-Net Technology, Inc.","0030BE"
"Mantra Communications, Inc.","000233"
"P-Cube, Ltd.","00022F"
"ESD Electronic System Design GmbH","000227"
"Aculab PLC","00021F"
"Kollmorgen-Servotronix","00021B"
"Metro-Optix","00020C"
"Advanced Scientific Corp","000218"
"S.D.E.L.","000213"
"AATR","00020F"
"TeraGlobal Communications Corp.","0001F9"
"Net & Sys Co., Ltd.","000200"
"Keyence Corporation","0001FC"
"QPS, Inc.","0001F3"
"Sitera, Inc.","0001E4"
"C-COM Corporation","0001EB"
"Tridium, Inc.","0001F0"
"Leisure Time, Inc.","0001D4"
"Teltronics, Inc.","0001D8"
"Quarry Technologies","0001C6"
"Japan Total Design Communication Co., Ltd.","0001CC"
"CoNet Communications, Inc.","0001D1"
"Precision Electronic Manufacturing","0001B3"
"ELMEX Co., LTD.","000160"
"BEST TECHNOLOGY CO., LTD.","00015E"
"Cygnet Technologies, Inc.","000162"
"Celestix Networks Pte Ltd.","000169"
"Radiant Communications Corp.","000175"
"S1 Corporation","000159"
"AirSwitch Corporation","000165"
"Allied Data Technologies","000171"
"SYSWAVE CO., LTD","000157"
"ARCHTEK TELECOM CORPORATION","000153"
"XCP, INC.","003038"
"Mindready Solutions, Inc.","0030DB"
"PENTA MEDIA CO., LTD.","00306A"
"HSING TECH. ENTERPRISE CO.,LTD","003021"
"TeraForce Technology Corporation","0030EA"
"STARDOT TECHNOLOGIES","0030F4"
"VEGA GRIESHABER KG","003087"
"ALLWELL TECHNOLOGY CORP.","003000"
"SET ENGINEERING","003034"
"Pinnacle Systems, Inc.","00308D"
"ORBACOM SYSTEMS, INC.","00304B"
"TELICA, INC.","0030FA"
"General Bandwidth","0001B1"
"Frequentis","0001BB"
"Centos, Inc.","0001B7"
"Main Street Networks","0001AB"
"SYRED Data Systems","000191"
"E-Control Systems, Inc.","00019D"
"Microlink Corporation","0001A4"
"HeiSei Electronics","000199"
"Infinilink Corporation","0001A0"
"AG-E GmbH","00017C"
"LXCO Technologies ag","000188"
"MARGI Systems, Inc.","000178"
"NetLinks Co., Ltd.","00018B"
"Wild Lab. Ltd.","0030F5"
"SIEB & MEYER AG","000184"
"Radcom Ltd.","00303E"
"Innovative Systems, L.L.C.","0030D7"
"Terawave Communications, Inc.","0030FC"
"IMT - Information Management T","00300F"
"LEADTEK RESEARCH INC.","003004"
"Jetway Information Co., Ltd.","003018"
"Discovery Com","0030CA"
"Ennovate Networks, Inc.","00014B"
"Aravox Technologies, Inc.","00012C"
"Selectron Systems AG","000134"
"BNA SYSTEMS","00013B"
"TELENET Co., Ltd.","00012B"
"Universal Talkware Corporation","00011C"
"DIGITAL ELECTRONICS CORP.","000123"
"RC Networks, Inc.","00011F"
"Village Networks, Inc. (VNI)","003045"
"CacheFlow, Inc.","0030BB"
"Basler AG","003053"
"Intellibyte Inc.","003072"
"TrunkNet","0030B1"
"SCHWEITZER ENGINEERING","0030A7"
"FOVEON, INC.","00D086"
"SYMBIONICS, LTD.","00D05A"
"URMET  TLC S.P.A.","00D01A"
"SOLARI DI UDINE SPA","00D0F3"
"DYNACOLOR, INC.","00D089"
"PHOENIX GROUP, INC.","00D08D"
"KAPADIA COMMUNICATIONS","00D09C"
"ASTRAL POINT","00D0FE"
"MODULAR MINING SYSTEMS, INC.","00D0DC"
"DIGIGRAM","00D062"
"TOKYO SOKKI KENKYUJO CO., LTD.","00D0A7"
"YANO ELECTRIC CO., LTD.","00D032"
"SAS INSTITUTE INC.","00D054"
"LIGHTERA NETWORKS, INC.","00D0EB"
"PINGTEL CORP.","00D01E"
"SHINANO KENSHI CO., LTD.","00D0A9"
"GMA COMMUNICATION MANUFACT'G","0030E9"
"KERBANGO, INC.","003027"
"SECURELOGIX CORPORATION","0030F6"
"L-3 Sonoma EO","0030B2"
"AVIO DIGITAL, INC.","003008"
"CHIYODA SYSTEM RIKEN","0030E4"
"SMARTBRIDGES PTE. LTD.","00301A"
"CONEXANT SYSTEMS, INC.","0030CD"
"SMP","003001"
"Network Equipment Technologies, Inc.","0030E1"
"DICTAPHONE CORPORATION","00D0EE"
"Iomega Corporation","00D0B8"
"RIOWORKS SOLUTIONS, INC.","005045"
"VIDEOCON AG","00507C"
"TDK-Lambda Corporation","005065"
"SIGMATEK GMBH & CO. KG","0050F4"
"KESTREL SOLUTIONS","005075"
"DCTRI","005090"
"ANDA NETWORKS","0050ED"
"SALIX TECHNOLOGIES, INC.","005096"
"SWITCHCORE AB","00509B"
"MOLDAT WIRELESS TECHNOLGIES","0050A9"
"TSINGHUA NOVEL ELECTRONICS","00503C"
"FUTURE PLUS SYSTEMS","005030"
"KOGA ELECTRONICS CO.","005037"
"MRG SYSTEMS, LTD.","00501F"
"Rigaku Corporation Osaka Plant","005092"
"JATOM SYSTEMS, INC.","00501C"
"TUNDO CORPORATION","00505C"
"ELECTRONIC INDUSTRIES ASSOCIATION","005068"
"IQinVision","00501A"
"OY COMSEL SYSTEM AB","005063"
"SIGNUM SYSTEMS CORP.","0050DE"
"MERLOT COMMUNICATIONS","00507B"
"MEGATON HOUSE, LTD.","005078"
"ASITA TECHNOLOGIES INT'L LTD.","00508F"
"BROADBAND ACCESS SYSTEMS","005057"
"TERASAKI ELECTRIC CO., LTD.","005087"
"ROCKETCHIPS, INC.","00D03E"
"AMERICAN COMMUNICATION","00D03F"
"DALIAN DAXIAN NETWORK","00D033"
"ASYST ELECTRONIC","00D0CE"
"CRESCENT NETWORKS, INC.","00D0B6"
"EPILOG CORPORATION","00D0D2"
"GOOD WAY IND. CO., LTD.","0050B6"
"HAKKO ELECTRONICS CO., LTD.","0050FF"
"PICAZO COMMUNICATIONS, INC.","005032"
"Sensormatic Electronics LLC","0050F9"
"PAN-INTERNATIONAL INDUSTRIAL CORP.","0050F6"
"Beijer Electronics Products AB","00506C"
"CAPITOL BUSINESS SYSTEMS, LTD.","0050A5"
"NEXO COMMUNICATIONS, INC.","005000"
"WINTRISS ENGINEERING CORP.","00D066"
"KMC CONTROLS","00D06F"
"LA CIE GROUP S.A.","00D04B"
"DITECH CORPORATION","00D002"
"LANBIRD TECHNOLOGY CO., LTD.","00D0A6"
"PHILIPS MULTIMEDIA NETWORK","00D0DE"
"INVERTEX, INC.","00D083"
"FIVEMERE, LTD.","00D038"
"SNIJDER MICRO SYSTEMS","00D00C"
"MONTEREY NETWORKS","00D0F2"
"COMCAM INTERNATIONAL INC","00D07B"
"INTELLIWORXX, INC.","00D05D"
"MICROMERITICS INSTRUMENT","00D00D"
"EUROTEL TELECOM LTD.","00D04C"
"OPTIMA TELE.COM, INC.","00D0FD"
"SITEK","0030D8"
"IP Video Networks Inc","003062"
"ALTOS C&C","003081"
"BITSWITCH LTD.","00D0B0"
"ALIDIAN NETWORKS, INC.","00D044"
"PENTACOM LTD.","00D004"
"KVASER AB","00D045"
"ZHONGXING TELECOM LTD.","00D0D0"
"DATA & CONTROL EQUIPMENT LTD.","00902C"
"ENTRIDIA CORPORATION","009049"
"FMT AIRCRAFT GATE SUPPORT SYSTEMS AB","009076"
"Zypcom, Inc","009017"
"E-TECH, INC.","00907B"
"ZF MICROSYSTEMS, INC.","00102A"
"AURORA COMMUNICATIONS, LTD.","00107D"
"OHM TECHNOLOGIES INTL, LLC","00101C"
"EDNT GmbH","00106C"
"STORAGE COMPUTER CORPORATION","0010D4"
"InterAir Wireless","0010BF"
"INTER-TEL INTEGRATED SYSTEMS","001036"
"ACCELERATED NETWORKS, INC.","001026"
"THE BRANTLEY COILE COMPANY,INC","001004"
"DIAMOND NETWORK TECH","00103A"
"CALISTA","0010D8"
"OBJECTIVE COMMUNICATIONS, INC.","001031"
"BACHMANN ELECTRONIC GmbH","00107E"
"ARMA, Inc.","0010C0"
"T.SQWARE","001016"
"PHASECOM, LTD.","00103D"
"WILLNET, INC.","0010C2"
"AmbiCom, Inc.","00107A"
"SELSIUS SYSTEMS, INC.","0010EB"
"NETWORK SYSTEMS & TECHNOLOGIES PVT. LTD.","00102E"
"NETSCHOOLS CORPORATION","00103E"
"ShoreTel, Inc","001049"
"Spirent plc, Service Assurance Broadband","00105E"
"AMANO CORPORATION","005088"
"OpenCon Systems, Inc.","0050A8"
"KOUWELL ELECTRONICS CORP.  **","005062"
"GIDDINGS & LEWIS","0050B1"
"e-Tek Labs, Inc.","00500C"
"NETACCESS, INC.","005091"
"MMC-EMBEDDED COMPUTERTECHNIK GmbH","005097"
"INTERGON, INC.","0050AF"
"ALPHA-TOP CORPORATION","0050EB"
"HAMMER STORAGE SOLUTIONS","0050BC"
"TOPIC SEMICONDUCTOR CORP.","0090C3"
"PYRESCOM","0090EC"
"TriEMS Research Lab, Inc.","00903B"
"ARGON NETWORKS, INC.","009074"
"Peco II, Inc.","0090C1 001569"
"GRIPS ELECTRONIC GMBH","0010D3"
"SUNDANCE TECHNOLOGY, INC.","0010ED"
"Network Equipment Technologies","001023 0080B2"
"CEOLOGIC","00104E"
"ZIDA TECHNOLOGIES LIMITED","0010FB"
"SOFTRONICS USB, INC.","0010AD"
"IMASDE CANARIAS, S.A.","0010D5"
"SOLECTRON TEXAS","0010E5"
"NovaTech Process Solutions, LLC","00909D"
"FOUNTAIN TECHNOLOGIES, INC.","009038"
"INTERNET MAGIC, INC.","0090C5"
"ASPECT ELECTRONICS, INC.","0090AD"
"Sycamore Networks","009097 00D0D1 002054"
"HanA Systems Inc.","009008"
"BindView Development Corp.","0090D4"
"SOFTCOM MICROSYSTEMS, INC.","009089"
"JAVELIN SYSTEMS, INC.","0090C4"
"ROTORK INSTRUMENTS, LTD.","009014"
"OPTIM SYSTEMS, INC.","0090C6"
"MARKEM-IMAJE","00909B"
"RAYMOND AND LAE ENGINEERING","00905B"
"MOXA TECHNOLOGIES CORP., LTD.","0090E8"
"Flying Pig Systems/High End Systems Inc.","0090A1"
"CopperCom, Inc.","0090FD"
"OPTIVISION, INC.","0090AC"
"COMMUNICATION DEVICES, INC.","00902A"
"SBC DESIGNS, INC.","009098"
"NORTEL","0090CF"
"KAWASAKI HEAVY INDUSTRIES, LTD","00900F"
"ens, inc.","009036"
"JANZ COMPUTER AG","0090E9"
"PELCOMBE GROUP LTD.","009032"
"ROHDE & SCHWARZ GMBH & CO. KG","0090B8"
"IBC/INTEGRATED BUSINESS COMPUTERS","0090BE"
"ICP VORTEX COMPUTERSYSTEME GmbH","009062"
"RAPTOR SYSTEMS","00108F"
"WebSonic","001089"
"ATTO Technology, Inc.","001086"
"L-3 COMMUNICATIONS EAST","001027"
"ISHIGAKI COMPUTER SYSTEM CO.","0010B8"
"Teledyne LeCroy, Inc","00104C"
"Citel","001001"
"FIBERLANE COMMUNICATIONS","0010CF"
"COMOS TELECOM","001068"
"I-O CORPORATION","0010F1"
"TECHNOBOX, INC.","001073"
"SEIWA ELECTRIC MFG. CO., LTD.","00E0C0"
"BENTLY NEVADA CORP.","00E046"
"HEIWA CORPORATION","00E015"
"OPTICAL ACCESS INTERNATIONAL","00E065"
"JAYCOR","00E069"
"Panasonic Healthcare Co., Ltd.","00E05C"
"LeCroy - Networking Productions Division","00E087"
"MICROWI ELECTRONIC GmbH","00E049"
"EXECUTONE INFORMATION SYSTEMS, INC.","00E050"
"SAMSUNG ELECTRONICS","00E064 842519"
"PLUTO TECHNOLOGIES INTERNATIONAL INC.","00E012"
"LANBit Computer, Inc.","00E0D8"
"InnoMediaLogic, Inc.","00E02D"
"FUNAI ELECTRIC CO., LTD.","00E0A9"
"SHERWOOD","00E060"
"MICROSLATE INC.","00E0A2"
"ARN","00E0CE"
"e-Net, Inc.","00E05F"
"EUROTECH SRL","00E0C7"
"HORNER ELECTRIC, INC.","00E0C4"
"INTERNET INITIATIVE JAPAN, INC","00E04D"
"AURORA TECHNOLOGIES, INC.","00607F"
"PARADYNE CORP.","00E039"
"FIRST PACIFIC NETWORKS, INC.","006091"
"SCREEN SUBTITLING SYSTEMS, LTD","006002"
"WHISTLE COMMUNICATIONS CORP.","006061"
"HIMA PAUL HILDEBRANDT GmbH Co. KG","00E0A1"
"APTIX CORPORATION","00E028"
"ARLOTTO COMNET, INC.","00E0F2"
"TECNOMEN OY","00E020"
"BCOM ELECTRONICS INC.","00E0C5"
"MAREL HF","00E0EE"
"MIDSCO, INC.","00E0AC"
"CROSSROADS SYSTEMS, INC.","00E002"
"HAN MICROTELECOM. CO., LTD.","00E057"
"ABLER TECHNOLOGY, INC.","00E0F0"
"PI GROUP, LTD.","00E0B7"
"FOR-A CO., LTD.","0010B1"
"BRISTOL BABCOCK, INC.","001041"
"IRIICHI TECHNOLOGIES Inc.","0010F7"
"APPLIED INTELLIGENT SYSTEMS, INC.","0010E6"
"MATSUSHITA ELECTRONIC INSTRUMENTS CORP.","00101E"
"ANTEC","0010F2"
"MARCH NETWORKS CORPORATION","0010BE"
"COPPER MOUNTAIN COMMUNICATIONS, INC.","006058"
"MESA ELECTRONICS","00601B"
"QuVis, Inc.","0060FF"
"NETWORK TOOLS, INC.","006056"
"ELMIC SYSTEMS, INC.","0060D8"
"DVS GMBH","00607A"
"ARBIN INSTRUMENTS","0060E3"
"A-TREND TECHNOLOGY CO., LTD.","00E0FD"
"LEIGHTRONIX, INC.","00E0FB"
"DATENTECHNIK GmbH","00E0D3"
"JAPAN AVIATION ELECTRONICS INDUSTRY, LTD.","00E05E"
"CINCO NETWORKS, INC.","00E0E5"
"SCITEX DIGITAL PRINTING, INC.","00A0FD"
"RADGUARD LTD.","00A0F5"
"CENTRE FOR DEVELOPMENT OF ADVANCED COMPUTING","00A022"
"Microsemi Corporation","00A087"
"APEXX TECHNOLOGY, INC.","00A007"
"ISA CO., LTD.","00A066"
"NETCS INFORMATIONSTECHNIK GMBH","00A0AB"
"SPECTRA - TEK","00A0D8"
"BINAR ELEKTRONIK AB","00A01A"
"REUTERS HOLDINGS PLC","00A0E8"
"CARDWARE LAB, INC.","00A076"
"RELIABLE POWER METERS","00A0A3"
"Data Device Corporation","00A055"
"NTT IT CO., LTD.","00A044"
"FLYTECH TECHNOLOGY CO., LTD.","0060EF"
"HT COMMUNICATIONS","006098"
"DATAFUSION SYSTEMS","0060F7"
"Kayser-Threde GmbH","0060DE"
"SNMP RESEARCH INCORPORATED","0060D0"
"Mainstream Data, Inc.","006079"
"PIVOTAL NETWORKING, INC.","006020"
"WYLE ELECTRONICS","0005A8"
"CHANNELMATIC, INC.","0060B7"
"CONTINUUM TECHNOLOGY CORP.","0060A3"
"INTERNIX INC.","006050"
"AXIOM TECHNOLOGY CO., LTD.","0060E0"
"TIDOMAT AB","0060A8"
"MICROPROSS","00A056"
"ANGIA COMMUNICATIONS. INC.","00A051"
"M.I. SYSTEMS, K.K.","00A0A6"
"BTG Electronics Design BV","00A05F"
"COMSAT CORPORATION","00A094"
"SYSLOGIC DATENTECHNIK AG","00A010"
"JRL SYSTEMS, INC.","00A063"
"DESKNET SYSTEMS, INC.","00A08F"
"TimeStep Corporation","00A090"
"V.I COMPUTER CORP.","00A0F7"
"H. BOLLMANN MANUFACTURERS, LTD","00A092"
"EDA INSTRUMENTS, INC.","00A04D"
"FISHER & PAYKEL PRODUCTION","00A0DB"
"TEKNOR MICROSYSTEME, INC.","00A0A5"
"CREATIVE CONTROLLERS, INC.","00A018"
"COMMVISION CORP.","00A09F"
"DMS DORSCH MIKROSYSTEM GMBH","00A06B"
"QUALITY SEMICONDUCTOR","006051"
"LIBERTY TECHNOLOGY NETWORKING","00605E"
"DCS AG","0060C6"
"ASC X3 - INFORMATION TECHNOLOGY STANDARDS SECRETARIATS","00609E"
"DIGITAL VIDEO","006084"
"ALERTON TECHNOLOGIES, INC.","00602D"
"VARIAN","006093"
"QUEST ENGINEERING & DEVELOPMENT","0060E2"
"ROSS TECHNOLOGY, INC.","00A039"
"MANNESMANN TALLY CORPORATION","00A06D"
"HE ELECTRONICS, TECHNOLOGIE & SYSTEMTECHNIK GmbH","00608E"
"JOHNSON & JOHNSON MEDICAL, INC","0060F0"
"LUCENT TECHNOLOGIES TAIWAN TELECOMMUNICATIONS CO., LTD.","0060D2"
"PRISA NETWORKS","006077"
"LARSCOM INCORPORATED","0060AB 0020C8"
"ATOP TECHNOLOGIES, INC.","0060E9"
"ConferTech International","00608B"
"NETVISION CORPORATION","0060C3"
"COMPACT DATA, LTD.","00A0A0"
"ASTON ELECTRONIC DESIGNS LTD.","00A08B"
"SPACELABS MEDICAL","00A0AA"
"AMERITEC CORP.","00A04F"
"COM21, INC.","00A073"
"Dataplex Pty Ltd","00A084"
"AXEL","00A034"
"TELECOM AUSTRALIA/CSSC","00C0BC"
"ABIT CORPORATION","00C0EF"
"TOWER TECH S.R.L.","00C03C"
"SOLECTEK CORPORATION","00C061"
"TOYODA AUTOMATIC LOOM","00C074"
"NUPON COMPUTING CORP.","00C07F"
"CIPHER SYSTEMS, INC.","00C027"
"DATAPRODUCTS CORPORATION","00C025"
"LASERMASTER TECHNOLOGIES, INC.","00C022"
"ELONEX PLC","00C05C"
"QUAD/GRAPHICS, INC.","00C0C1"
"JABIL CIRCUIT, INC.","00C091"
"METACOMP, INC.","00C0F5"
"DATALUX CORP.","00C042"
"TELINDUS DISTRIBUTION","00C089"
"DISTRIBUTED SYSTEMS INT'L, INC","00C09D"
"DICKENS DATA SYSTEMS","00C0A5"
"OSITECH COMMUNICATIONS, INC.","00C0E3"
"AREANEX COMMUNICATIONS, INC.","00C071"
"TEKLOGIX INC.","00C0AF"
"MERCURY COMPUTER SYSTEMS, INC.","00209F"
"NAMAQUA COMPUTERWARE","0020B7"
"NORTHERN TELECOM/NETWORK","00201B"
"PULSE ELECTRONICS, INC.","0020C0"
"CMD TECHNOLOGY","00208D"
"Cybertec Pty Ltd","0020DD"
"NIOBRARA R & D CORPORATION","0020BD"
"LIDKOPING MACHINE TOOLS AB","0020E6"
"STEINBRECHER CORP.","002047"
"YASKAWA ELECTRIC CORPORATION","0020B5"
"WORKLINK INNOVATIONS","002072"
"PRIME OPTION, INC.","0020B8"
"CHESS ENGINEERING B.V.","002092"
"METRICOM, INC.","0020B9"
"MATROX","0020FC"
"GLOBALNET COMMUNICATIONS","00C003"
"ACUSON COMPUTED SONOGRAPHY","00C0C3"
"MITEC, INC.","00C04D"
"MODULAR COMPUTING TECHNOLOGIES","00C055"
"UNITED BARCODE INDUSTRIES","00C067"
"MYSON TECHNOLOGY, INC.","00C0B4"
"NETSTAR, INC.","00C080"
"NEW MEDIA CORPORATION","00C015"
"DATA RECALL LTD.","0070B3 0270B3"
"TRACE MOUNTAIN PRODUCTS, INC.","00C083"
"LIVINGSTON ENTERPRISES, INC.","00C005"
"MICRO BYTE PTY. LTD.","00C0C8"
"PRAIM S.R.L.","00C090"
"INTERACTIVE COMPUTING DEVICES","00C011"
"PROSUM","00C0FD"
"DIGITAL TRANSMISSION SYSTEMS","00C041"
"QUANTUM SOFTWARE SYSTEMS LTD.","00C00F"
"I-DATA INTERNATIONAL A-S","00C076"
"PERSONAL MEDIA CORP.","00C0C6"
"MULTIACCESS COMPUTING CORP.","00C03B"
"SPECTRIX CORPORATION","0020F4"
"NETWORK SECURITY SYSTEMS, INC.","00204E"
"MING FORTUNE INDUSTRY CO., LTD","002027"
"SATELLITE TECHNOLOGY MGMT, INC","00200E"
"Invensys","002096"
"ZAX CORPORATION","0020BB"
"INOVIS GMBH","00204D"
"T3PLUS NETWORKING, INC.","002089"
"GAMMADATA COMPUTER GMBH","00205F"
"INFORMATION RESOURCE ENGINEERING","0020E2"
"ALLIED SIGNAL INC.","002058"
"TITAN ELECTRONICS","002081"
"KATANA PRODUCTS","00201D"
"TEST & MEASUREMENT SYSTEMS INC","0020CF"
"NEURON COMPANY LIMITED","002043"
"JAPAN DIGITAL LABORAT'Y CO.LTD","0020DE"
"CYBERDATA CORPORATION","0020F7"
"GTECH CORPORATION","0020EE"
"GALAXY NETWORKS, INC.","00208C"
"WIPRO INFOTECH LTD.","002063"
"DENSITRON TAIWAN LTD.","0020DC"
"DATAMETRICS CORP.","002042"
"CARRERA COMPUTERS, INC.","0020F8"
"ADASTRA SYSTEMS CORP.","00200C"
"INET,INC.","0020C4"
"YOSHIKI INDUSTRIAL CO.,LTD.","00C099"
"ELASTIC REALITY, INC.","00C0FC"
"RATOC SYSTEM INC.","00C0D0"
"PRIVA B.V.","00C07A"
"HIOKI E.E. CORPORATION","00C09C 000167"
"JAPAN BUSINESS COMPUTER CO.LTD","00C004"
"IMPULSE TECHNOLOGY","00C062"
"NODE RUNNER, INC.","000267"
"PROTEC MICROSYSTEMS, INC.","002064"
"ALCATEL TAISEL","002032"
"KYOEI SANGYO CO., LTD.","00207F"
"KARDIOS SYSTEMS CORP.","002077"
"ISDYNE","002068"
"N.V. DZINE","00202A"
"COMPUADD CORPORATION","008006"
"RATIONAL","0080EF"
"DOCUMENT TECHNOLOGIES, INC.","0080C4"
"BASIC MERTON HANDELSGES.M.B.H.","008095"
"INTELLICOM, INC.","008053"
"NETWORK PRODUCTS CORPORATION","008026"
"AZURE TECHNOLOGIES, INC.","0080FE"
"TRADPOST (HK) LTD","008028"
"THEMIS COMPUTER","0080B6 C8778B"
"PENRIL DATACOMM","0080C0"
"Quantel Ltd","0080F5"
"INVISIBLE SOFTWARE, INC.","00401D"
"STARLIGHT NETWORKS, INC.","0040BD"
"LANCO, INC.","00406D"
"TELECOMMUNICATIONS TECHNIQUES","00404D"
"CLINICOMP INTL.","0040A5"
"YOSHIDA KOGYO K. K.","004059"
"RASTER GRAPHICS","004021"
"MANNESMANN SCANGRAPHIC GMBH","004081"
"CEGELEC PROJECTS LTD","00806C"
"WEST AUSTRALIAN DEPARTMENT","00404A"
"PIVOTAL TECHNOLOGIES, INC.","00400A"
"DIGITAL COMMUNICATIONS","004032"
"N.A.T. GMBH","004042"
"APPLIED COMPUTING DEVICES","0040C2"
"FORKS, INC.","00403C"
"KINKEI SYSTEM CORPORATION","0040C4"
"FUKUDA DENSHI CO., LTD.","0040D1"
"COMPAC INC.","004024"
"COMPUTERM  CORPORATION","0040B6"
"SSANGYONG COMPUTER SYSTEMS","00403F"
"Emerson Process Management Power & Water Solutions, Inc.","004003"
"ANSEL COMMUNICATIONS","004090"
"NETWORK EXPRESS, INC.","00409A"
"Elsag Datamat spa","0040DE"
"VIA TECHNOLOGIES, INC.","004063 001FF2"
"COPERNIQUE","00406C"
"DIGALOG SYSTEMS, INC.","0040DF"
"ASCOM INFRASYS AG","004015"
"SPHINX Electronics GmbH & Co KG","008056"
"NETWORK INTERFACE CORPORATION","008060"
"LSI LOGIC CORPORATION","00805E"
"XYRON CORPORATION","008093"
"L&N TECHNOLOGIES","00C05D"
"SIEMENS BUILDING","00C0E4"
"SOCKET COMMUNICATIONS, INC.","00C01B"
"HAFT TECHNOLOGY, INC.","00C06E"
"SYNC RESEARCH INC.","00406F"
"COLORGRAPH LTD","00401F"
"STRAWBERRY TREE, INC.","0040CF"
"SEA-ILAN, INC.","004037"
"SILCOM MANUF'G TECHNOLOGY INC.","0040CC"
"STAR TECHNOLOGIES, INC.","004052"
"SOCIETE D'EXPLOITATION DU CNIT","00407A"
"MEIDENSHA CORPORATION","004089"
"GOLDSTAR INFORMATION & COMM.","00405A"
"HYPERTEC PTY LTD.","00404C"
"CONTROL TECHNOLOGY CORPORATION","00C0CB"
"PHOTONICS CORPORATION","00C09A"
"COROMETRICS MEDICAL SYSTEMS","00C01A"
"MAPLE COMPUTER SYSTEMS","00404B"
"METRONIX GMBH","004055"
"TWINHEAD CORPORATION","004045"
"DIGIBOARD, INC.","00409D"
"FUJI ELECTRIC CO., LTD.","00401A"
"MACQ ELECTRONIQUE SA","0040B9"
"RUBY TECH CORPORATION","0040C7"
"ICM CO. LTD.","004004"
"INTERWARE CO., LTD.","004070"
"ADSOFT, LTD.","008057"
"AITECH SYSTEMS LTD.","00807A"
"MAXPEED","0080AA"
"FIBERDATA AB","00C0E7"
"JAPAN COMPUTER CORP.","00800A"
"NIPPON STEEL CORPORATION","00806E"
"COMMODORE INTERNATIONAL","008010"
"Bruel & Kjaer Sound & Vibration Measurement A/S","0080DA"
"HITACHI ENGINEERING CO., LTD","0080BC"
"MULTITECH SYSTEMS, INC.","008000 000800"
"MICROTEST, INC.","0080A1"
"COMPUTER PERIPHERALS, INC.","0080D0"
"EQUINOX SYSTEMS INC.","00807D"
"APEX COMPUTER COMPANY","00804E"
"ATLANTIX CORPORATION","00800E"
"ONELAN LTD.","00806F"
"TDK CORPORATION","008098"
"LUXCOM, INC.","00809C"
"CYBERGRAPHIC SYSTEMS PTY LTD.","008065"
"WANDEL AND GOLTERMANN","008016"
"PEER NETWORKS, INC.","0080E6"
"CREATIVE ELECTRONIC SYSTEMS","0080A2"
"XTP SYSTEMS, INC.","0080E0"
"ZIATECH CORPORATION","008050"
"QUADRAM CORP.","0000E0"
"SCITEX CORPORATION LTD.","000057"
"PUNCH LINE HOLDING","0000D6"
"ALTOS COMPUTER SYSTEMS","0000C8"
"CROSSCOMM CORPORATION","000098"
"CSS LABS","000038"
"GATEWAY COMMUNICATIONS","000061"
"MICRO TECHNOLOGY","000043"
"Star Gate Technologies","0000E7"
"GANDALF DATA LIMITED","0000F3"
"AUTOTOTE LIMITED","00002C"
"TRW - SEDD/INP","00002A"
"MAGNA COMPUTER CORPORATION","0000F1"
"TADPOLE TECHNOLOGY PLC","000083"
"DATAINDUSTRIER DIAB AB","000020"
"DANA COMPUTER INC.","00007A"
"AMPERE INCORPORATED","00007C"
"DATAHOUSE INFORMATION SYSTEMS","00008A"
"ROSEMOUNT CONTROLS","000068"
"STRATUS COMPUTER INC.","0000A8"
"BELL & HOWELL PUB SYS DIV","0000DF"
"BULL HN INFORMATION SYSTEMS","000062"
"BRUKER INSTRUMENTS INC.","0000AD"
"DEVELCON ELECTRONICS LTD.","0000D0"
"PROTEON INC.","000093"
"DYNATECH COMPUTER SYSTEMS","008008"
"SOC. DE TELEINFORMATIQUE RTC","0080FF"
"HCL LIMITED","000070"
"SOLBOURNE COMPUTER, INC.","00008E"
"HAYES MICROCOMPUTER PRODUCTS","0000DC 0000CF"
"CONNECT AS","000024"
"NEXUS ELECTRONICS","008030"
"SCAN-OPTICS","008022"
"ICE CORPORATION","000041"
"TELSIST INDUSTRIA ELECTRONICA","00001E"
"ARTEL COMMUNICATIONS CORP.","00807B"
"CASTLE ROCK COMPUTING","00802E"
"HEURIKON CORPORATION","0080F9"
"CACTUS COMPUTER INC.","008005"
"INTEGRATED INFERENCE MACHINES","00801D"
"SEIKO SYSTEMS, INC.","008015"
"SMT GOUPIL","008034"
"ALBERTA MICROELECTRONIC CENTRE","0080C9"
"CSK CORPORATION","00800B"
"DU PONT PIXEL SYSTEMS     .","000016"
"TELEMATICS INTERNATIONAL INC.","00005C"
"CONWARE COMPUTER CONSULTING","0000AC"
"SPIDER COMMUNICATIONS","0000F2"
"VG LABORATORY SYSTEMS LTD","000030"
"SPECTRAGRAPHICS CORPORATION","000035"
"TEKTRONIX INC.","080011"
"FERRANTI COMPUTER SYS. LIMITED","080040"
"TORUS SYSTEMS LIMITED","08003B"
"CADNETIX CORPORATIONS","08003D"
"SPIDER SYSTEMS LIMITED","080039"
"INFORMATION INTERNATIONAL, INC","00009B"
"3M COMPANY","080021"
"MIKLYN DEVELOPMENT CO.","08000C"
"SANYO Electric Co., Ltd.","0000A0"
"CARNEGIE-MELLON UNIVERSITY","08007F"
"VERITAS SOFTWARE","080082"
"SANYO ELECTRIC CO. LTD.","08007B"
"SYSGEN","00406B"
"COMPUTERVISION CORPORATION","080001"
"COMPUCORP","000053"
"Planning Research Corp.","08004B"
"ADVANCED COMPUTER COMM.","080003"
"CASIO COMPUTER CO. LTD.","080074"
